Site,Profile ID,Date,Chainage,Elevation,Flag
NARRA,PF6,1976-04-27,0,6.29,EMERY
NARRA,PF6,1976-04-27,10,1.68,EMERY
NARRA,PF6,1976-04-27,20,0.1,EMERY
NARRA,PF6,1976-04-27,30,-0.95,EMERY
NARRA,PF4,1976-04-27,0,9.52,EMERY
NARRA,PF4,1976-04-27,10,7.12,EMERY
NARRA,PF4,1976-04-27,20,5.88,EMERY
NARRA,PF4,1976-04-27,30,3.88,EMERY
NARRA,PF4,1976-04-27,40,1.56,EMERY
NARRA,PF4,1976-04-27,50,-0.26,EMERY
NARRA,PF4,1976-04-27,60,-1.16,EMERY
NARRA,PF4,1976-04-27,70,-1.81,EMERY
NARRA,PF2,1976-04-27,0,9.25,EMERY
NARRA,PF2,1976-04-27,10,7.92,EMERY
NARRA,PF2,1976-04-27,20,6.75,EMERY
NARRA,PF2,1976-04-27,30,3.72,EMERY
NARRA,PF2,1976-04-27,40,2.54,EMERY
NARRA,PF2,1976-04-27,50,2.15,EMERY
NARRA,PF2,1976-04-27,60,0.66,EMERY
NARRA,PF2,1976-04-27,70,0.18,EMERY
NARRA,PF2,1976-04-27,80,-0.09,EMERY
NARRA,PF2,1976-04-27,90,-0.34,EMERY
NARRA,PF2,1976-04-27,100,-0.65,EMERY
NARRA,PF8,1976-04-27,0,3.42,EMERY
NARRA,PF8,1976-04-27,10,2.65,EMERY
NARRA,PF8,1976-04-27,20,2.24,EMERY
NARRA,PF8,1976-04-27,30,1.9,EMERY
NARRA,PF8,1976-04-27,40,1.42,EMERY
NARRA,PF8,1976-04-27,50,1.18,EMERY
NARRA,PF8,1976-04-27,60,0.88,EMERY
NARRA,PF8,1976-04-27,70,0.36,EMERY
NARRA,PF8,1976-04-27,80,-0.19,EMERY
NARRA,PF8,1976-04-27,90,-0.51,EMERY
NARRA,PF1,1976-04-27,0,9.09,EMERY
NARRA,PF1,1976-04-27,10,8.79,EMERY
NARRA,PF1,1976-04-27,20,8.06,EMERY
NARRA,PF1,1976-04-27,30,6.65,EMERY
NARRA,PF1,1976-04-27,40,4.86,EMERY
NARRA,PF1,1976-04-27,50,3.53,EMERY
NARRA,PF1,1976-04-27,60,2.38,EMERY
NARRA,PF1,1976-04-27,70,1.58,EMERY
NARRA,PF1,1976-04-27,80,0.54,EMERY
NARRA,PF1,1976-04-27,90,-0.92,EMERY
NARRA,PF1,1976-04-27,100,-0.98,EMERY
NARRA,PF1,1976-04-27,110,-0.93,EMERY
NARRA,PF1,1976-04-27,120,-1.31,EMERY
NARRA,PF1,1976-04-27,130,-1.51,EMERY
NARRA,PF1,1976-05-10,0,9.09,DUNEFILL
NARRA,PF1,1976-05-10,10,8.79,DUNEFILL
NARRA,PF1,1976-05-10,20,8.06,DUNEFILL
NARRA,PF1,1976-05-10,30,6.65,DUNEFILL
NARRA,PF1,1976-05-10,40,4.86,DUNEFILL
NARRA,PF1,1976-05-10,50,3.53,DUNEFILL
NARRA,PF1,1976-05-10,60,1.7,EMERY
NARRA,PF1,1976-05-10,70,-0.26,EMERY
NARRA,PF6,1976-05-10,0,6.29,DUNEFILL
NARRA,PF6,1976-05-10,10,1.26,EMERY
NARRA,PF6,1976-05-10,20,0.14,EMERY
NARRA,PF6,1976-05-10,30,-0.73,EMERY
NARRA,PF6,1976-05-10,40,-0.85,EMERY
NARRA,PF6,1976-05-10,50,-1.03,EMERY
NARRA,PF6,1976-05-10,60,-1.28,EMERY
NARRA,PF6,1976-05-10,70,-1.55,EMERY
NARRA,PF4,1976-05-10,0,9.52,DUNEFILL
NARRA,PF4,1976-05-10,10,7.12,DUNEFILL
NARRA,PF4,1976-05-10,20,5.88,DUNEFILL
NARRA,PF4,1976-05-10,30,3.88,DUNEFILL
NARRA,PF4,1976-05-10,40,1.56,EMERY
NARRA,PF4,1976-05-10,50,1.49,EMERY
NARRA,PF4,1976-05-10,60,0.81,EMERY
NARRA,PF4,1976-05-10,70,0.12,EMERY
NARRA,PF4,1976-05-10,80,-0.51,EMERY
NARRA,PF4,1976-05-10,90,-1,EMERY
NARRA,PF4,1976-05-10,100,-1.23,EMERY
NARRA,PF4,1976-05-10,110,-1.25,EMERY
NARRA,PF2,1976-05-10,0,9.25,DUNEFILL
NARRA,PF2,1976-05-10,10,7.92,DUNEFILL
NARRA,PF2,1976-05-10,20,6.75,EMERY
NARRA,PF2,1976-05-10,30,3.72,EMERY
NARRA,PF2,1976-05-10,40,2.47,EMERY
NARRA,PF2,1976-05-10,50,2.17,EMERY
NARRA,PF2,1976-05-10,60,0.79,EMERY
NARRA,PF2,1976-05-10,70,-0.45,EMERY
NARRA,PF8,1976-05-10,0,3.42,DUNEFILL
NARRA,PF8,1976-05-10,10,2.65,EMERY
NARRA,PF8,1976-05-10,20,2.24,EMERY
NARRA,PF8,1976-05-10,30,1.97,EMERY
NARRA,PF8,1976-05-10,40,1.99,EMERY
NARRA,PF8,1976-05-10,50,2.12,EMERY
NARRA,PF8,1976-05-10,60,1.16,EMERY
NARRA,PF8,1976-05-10,70,0.36,EMERY
NARRA,PF8,1976-05-10,80,-0.14,EMERY
NARRA,PF8,1976-05-10,90,-0.51,EMERY
NARRA,PF8,1976-05-10,100,-0.77,EMERY
NARRA,PF8,1976-05-10,110,-0.97,EMERY
NARRA,PF8,1976-05-10,120,-1.15,EMERY
NARRA,PF8,1976-05-10,130,-1.57,EMERY
NARRA,PF1,1976-05-18,0,9.09,DUNEFILL
NARRA,PF1,1976-05-18,10,8.79,DUNEFILL
NARRA,PF1,1976-05-18,20,8.06,DUNEFILL
NARRA,PF1,1976-05-18,30,6.65,DUNEFILL
NARRA,PF1,1976-05-18,40,4.86,DUNEFILL
NARRA,PF1,1976-05-18,50,3.53,DUNEFILL
NARRA,PF1,1976-05-18,60,2.14,EMERY
NARRA,PF1,1976-05-18,70,1.1,EMERY
NARRA,PF1,1976-05-18,80,-0.29,EMERY
NARRA,PF1,1976-05-18,90,-0.59,EMERY
NARRA,PF1,1976-05-18,100,-0.51,EMERY
NARRA,PF1,1976-05-18,110,-0.45,EMERY
NARRA,PF1,1976-05-18,120,-0.64,EMERY
NARRA,PF1,1976-05-18,130,-0.92,EMERY
NARRA,PF1,1976-05-18,140,-1.36,EMERY
NARRA,PF6,1976-05-18,0,6.29,DUNEFILL
NARRA,PF6,1976-05-18,10,1.87,EMERY
NARRA,PF6,1976-05-18,20,1.17,EMERY
NARRA,PF6,1976-05-18,30,-0.07,EMERY
NARRA,PF6,1976-05-18,40,-0.68,EMERY
NARRA,PF6,1976-05-18,50,-0.79,EMERY
NARRA,PF4,1976-05-18,0,9.52,DUNEFILL
NARRA,PF4,1976-05-18,10,7.12,DUNEFILL
NARRA,PF4,1976-05-18,20,5.88,DUNEFILL
NARRA,PF4,1976-05-18,30,3.92,EMERY
NARRA,PF4,1976-05-18,40,2.21,EMERY
NARRA,PF4,1976-05-18,50,3.07,EMERY
NARRA,PF4,1976-05-18,60,3.02,EMERY
NARRA,PF4,1976-05-18,70,0.32,EMERY
NARRA,PF4,1976-05-18,80,-0.81,EMERY
NARRA,PF4,1976-05-18,90,-0.83,EMERY
NARRA,PF4,1976-05-18,100,-1,EMERY
NARRA,PF4,1976-05-18,110,-1.3,EMERY
NARRA,PF4,1976-05-18,120,-1.33,EMERY
NARRA,PF4,1976-05-18,130,-1.43,EMERY
NARRA,PF2,1976-05-18,0,9.25,DUNEFILL
NARRA,PF2,1976-05-18,10,7.92,DUNEFILL
NARRA,PF2,1976-05-18,20,6.8,EMERY
NARRA,PF2,1976-05-18,30,3.7,EMERY
NARRA,PF2,1976-05-18,40,2.46,EMERY
NARRA,PF2,1976-05-18,50,2.1,EMERY
NARRA,PF2,1976-05-18,60,1.76,EMERY
NARRA,PF2,1976-05-18,70,0.25,EMERY
NARRA,PF2,1976-05-18,80,-0.45,EMERY
NARRA,PF2,1976-05-18,90,-0.42,EMERY
NARRA,PF2,1976-05-18,100,-0.54,EMERY
NARRA,PF2,1976-05-18,110,-0.62,EMERY
NARRA,PF2,1976-05-18,120,-0.86,EMERY
NARRA,PF2,1976-05-18,130,-1.2,EMERY
NARRA,PF8,1976-05-18,0,3.42,DUNEFILL
NARRA,PF8,1976-05-18,10,2.42,EMERY
NARRA,PF8,1976-05-18,20,2.05,EMERY
NARRA,PF8,1976-05-18,30,2.23,EMERY
NARRA,PF8,1976-05-18,40,2.32,EMERY
NARRA,PF8,1976-05-18,50,1.87,EMERY
NARRA,PF8,1976-05-18,60,1.03,EMERY
NARRA,PF8,1976-05-18,70,0.26,EMERY
NARRA,PF8,1976-05-18,80,-0.22,EMERY
NARRA,PF8,1976-05-18,90,-0.49,EMERY
NARRA,PF8,1976-05-18,100,-0.7,EMERY
NARRA,PF8,1976-05-18,110,-0.91,EMERY
NARRA,PF8,1976-05-20,0,3.42,DUNEFILL
NARRA,PF8,1976-05-20,10,2.36,EMERY
NARRA,PF8,1976-05-20,20,1.94,EMERY
NARRA,PF8,1976-05-20,30,1.96,EMERY
NARRA,PF8,1976-05-20,40,2.17,EMERY
NARRA,PF8,1976-05-20,50,1.7,EMERY
NARRA,PF8,1976-05-20,60,0.92,EMERY
NARRA,PF8,1976-05-20,70,0.04,EMERY
NARRA,PF8,1976-05-20,80,-0.57,EMERY
NARRA,PF8,1976-05-20,90,-0.82,EMERY
NARRA,PF8,1976-05-20,100,-1.19,EMERY
NARRA,PF8,1976-05-20,110,-1.38,EMERY
NARRA,PF6,1976-05-20,0,6.29,DUNEFILL
NARRA,PF6,1976-05-20,10,2.96,EMERY
NARRA,PF6,1976-05-20,20,0.67,EMERY
NARRA,PF6,1976-05-20,30,0.56,EMERY
NARRA,PF6,1976-05-20,40,0.15,EMERY
NARRA,PF6,1976-05-20,50,-0.11,EMERY
NARRA,PF6,1976-05-20,60,-0.22,EMERY
NARRA,PF6,1976-05-20,70,-0.46,EMERY
